comment,cleaned_comment,tokenized_comment,stopwords_comment,stemmed_comment,cleaned_stemmed,sentiment_prediction
Asukkkk asukk,asukk asukk,"['asukk', 'asukk']","['asukk', 'asukk']","['asukk', 'asukk']",asukk asukk,negative
Rugi nerangin sama orang yg g paham .,rugi nerangin sama orang yang tidak paham,"['rugi', 'nerangin', 'sama', 'orang', 'yang', 'tidak', 'paham']","['rugi', 'nerangin', 'orang', 'paham']","['rugi', 'nerangin', 'orang', 'paham']",rugi nerangin orang paham,negative
Tggl dengarkan aja dulu,tggl dengarkan saja dulu,"['tggl', 'dengarkan', 'saja', 'dulu']","['tggl', 'dengarkan']","['tggl', 'dengar']",tggl dengar,negative
Ayo berantem aja biar dicontoh sama mahasiswa2 yg hadir disitu,ayo berantem saja biar dicontoh sama mahasiswa yang hadir disitu,"['ayo', 'berantem', 'saja', 'biar', 'dicontoh', 'sama', 'mahasiswa', 'yang', 'hadir', 'disitu']","['ayo', 'berantem', 'biar', 'dicontoh', 'mahasiswa', 'hadir', 'disitu']","['ayo', 'antem', 'biar', 'contoh', 'mahasiswa', 'hadir', 'situ']",ayo antem biar contoh mahasiswa hadir situ,negative
Emosi tandanya pikiran ga sampe😂😂😂,emosi tandanya pikiran tidak sampai,"['emosi', 'tandanya', 'pikiran', 'tidak', 'sampai']","['emosi', 'tandanya', 'pikiran']","['emosi', 'tanda', 'pikir']",emosi tanda pikir,negative
"Debat kok kaya anak anak bertengkar,,,kaya nggak ada solusi lain",debat kok kaya anak anak bertengkar kaya tidak ada solusi lain,"['debat', 'kok', 'kaya', 'anak', 'anak', 'bertengkar', 'kaya', 'tidak', 'ada', 'solusi', 'lain']","['debat', 'kaya', 'anak', 'anak', 'bertengkar', 'kaya', 'solusi']","['debat', 'kaya', 'anak', 'anak', 'tengkar', 'kaya', 'solusi']",debat kaya anak anak tengkar kaya solusi,negative
"Tawain aja siapa yg bodoh, 😂😂",tawain saja siapa yang bodoh,"['tawain', 'saja', 'siapa', 'yang', 'bodoh']","['tawain', 'bodoh']","['tawain', 'bodoh']",tawain bodoh,negative
Mahasiswa bertepuk tangan  untuk Rocky Gerung    artinya yg pakai jas biru muda  kalah berdebat  dgn Rocky Gerung.,mahasiswa bertepuk tangan untuk rocky gerung artinya yang pakai jas biru muda kalah berdebat dengan rocky gerung,"['mahasiswa', 'bertepuk', 'tangan', 'untuk', 'rocky', 'gerung', 'artinya', 'yang', 'pakai', 'jas', 'biru', 'muda', 'kalah', 'berdebat', 'dengan', 'rocky', 'gerung']","['mahasiswa', 'bertepuk', 'tangan', 'rocky', 'gerung', 'pakai', 'jas', 'biru', 'muda', 'kalah', 'berdebat', 'rocky', 'gerung']","['mahasiswa', 'tepuk', 'tangan', 'rocky', 'gerung', 'pakai', 'jas', 'biru', 'muda', 'kalah', 'debat', 'rocky', 'gerung']",mahasiswa tepuk tangan rocky gerung pakai jas biru muda kalah debat rocky gerung,negative
"ga heran sih sama rocky, 1 kail dimakan lebih dari 3 hewan, eh ikan😂",tidak heran sih sama rocky kail dimakan lebih dari hewan eh ikan,"['tidak', 'heran', 'sih', 'sama', 'rocky', 'kail', 'dimakan', 'lebih', 'dari', 'hewan', 'eh', 'ikan']","['heran', 'sih', 'rocky', 'kail', 'dimakan', 'hewan', 'eh', 'ikan']","['heran', 'sih', 'rocky', 'kail', 'makan', 'hewan', 'eh', 'ikan']",heran sih rocky kail makan hewan eh ikan,negative
Beda kelas ....jauh bgt,beda kelas jauh banget,"['beda', 'kelas', 'jauh', 'banget']","['beda', 'kelas', 'banget']","['beda', 'kelas', 'banget']",beda kelas banget,negative
kalau Rocky gerung diajak sambung ayat dan tafsirnya apakah dia juga menguasai.?,kalau rocky gerung diajak sambung ayat dan tafsirnya apakah dia juga menguasai,"['kalau', 'rocky', 'gerung', 'diajak', 'sambung', 'ayat', 'dan', 'tafsirnya', 'apakah', 'dia', 'juga', 'menguasai']","['rocky', 'gerung', 'diajak', 'sambung', 'ayat', 'tafsirnya', 'menguasai']","['rocky', 'gerung', 'ajak', 'sambung', 'ayat', 'tafsir', 'kuasa']",rocky gerung ajak sambung ayat tafsir kuasa,negative
Roky gerung banyak mencerdaskan  bangsa,rocky gerung banyak mencerdaskan bangsa,"['rocky', 'gerung', 'banyak', 'mencerdaskan', 'bangsa']","['rocky', 'gerung', 'mencerdaskan', 'bangsa']","['rocky', 'gerung', 'cerdas', 'bangsa']",rocky gerung cerdas bangsa,negative
Orang-orang kaya Rocky Gerung ini justru mengajarkan saya untuk berpikir. bukan meneruskan budaya caci maki dan baku hantam,orang orang kaya rocky gerung ini justru mengajarkan saya untuk berpikir bukan meneruskan budaya caci maki dan baku hantam,"['orang', 'orang', 'kaya', 'rocky', 'gerung', 'ini', 'justru', 'mengajarkan', 'saya', 'untuk', 'berpikir', 'bukan', 'meneruskan', 'budaya', 'caci', 'maki', 'dan', 'baku', 'hantam']","['orang', 'orang', 'kaya', 'rocky', 'gerung', 'mengajarkan', 'berpikir', 'meneruskan', 'budaya', 'caci', 'maki', 'baku', 'hantam']","['orang', 'orang', 'kaya', 'rocky', 'gerung', 'ajar', 'pikir', 'terus', 'budaya', 'caci', 'maki', 'baku', 'hantam']",orang orang kaya rocky gerung ajar pikir terus budaya caci maki baku hantam,negative
silvester stalone sok berguna buat negri😂😂,silfester stalone sok berguna buat negri,"['silfester', 'stalone', 'sok', 'berguna', 'buat', 'negri']","['silfester', 'stalone', 'sok', 'berguna', 'negri']","['silfester', 'stalone', 'sok', 'guna', 'negri']",silfester stalone sok guna negri,negative
Salah sendiri silvestre bilang rgbbujang lapok.wkwkwk,salah sendiri silvestre bilang rgbbujang lapok wkwkwk,"['salah', 'sendiri', 'silvestre', 'bilang', 'rgbbujang', 'lapok', 'wkwkwk']","['salah', 'silvestre', 'bilang', 'rgbbujang', 'lapok']","['salah', 'silvestre', 'bilang', 'rgbbujang', 'lapok']",salah silvestre bilang rgbbujang lapok,negative
