cleaned_stemmed,sentiment_prediction
lawan debat bang rocky imbang mesti pikir pintar serang pribadi bang rocky bodoh debat,negative
sih bukn lihat rocky gerung rsa rocky gerung pntas undang trlalu mngjar brsilat lidah tdak pmbktian,negative
kasi sulit pikir,negative
tren otot cepat otak okol cepat akal,negative
kutip ucap plato manusia makhluk binatang dewa karna manusia harusbelajar filsafat biar bodoh kaya binatang hebat dewa kadi rocky silfester salingemahami,negative
selenggara debat orang undang timbul ribut sgt paku tonton masarakat luas sring kali,negative
kena jebak betmen ngaku,negative
emosi nilai utama suatau debat marah situ kalah,negative
mental cemen berani lawn debat rocky ya segtu cemen sih orang hukum orang hukum cemenn,negative
loo la ya kali bilang bodoh rocky rocky aje menit ganti si rocky bilang bodoh eh emosi wkwiw,negative
rocky gerung ngerti ngamuk orang erti jelas rocky gerung geleng orang,negative
kelas rocky tong kosong nyaring bunyi,negative
orang agama bicara karna takut dosa,negative
sanding munarman seru,negative
rocky sang pikir gituloh,negative
baik orang bodoh rocky benci isi otak minus emosi si silfester maju rocky,negative
ilmu guna negara sj tong kosong nyaring bunyi benci akn balas timpal jaya pakai jokowi,negative
ndadak bloon timbul emosi dungu dunguu nelen ludah teruus,negative
hahhaha kena pancing marahmarahperlihatkan,negative
rocky px kelas jujur klu ggk tau nyerah,negative
ribu komentar jarang komentar bela silfester sengaja aku sbg jilat,negative
mas aiman neng jelas rocky kasih sempat bust bukam lawan hehe,negative
sampek sampek rocky gerung profesor profesor katain dungu karna mahasiswa silfester,negative
anak sd tau si mul cawe klu jilat sich anggap,negative
lanjut aph sumpah seru abizz,negative
woi silfester bikin lawak media tonton dungu,negative
laki keren emosi tekan bodoh sungguh kontrol emosi saksi publik,negative
rocky gerung lawan,negative
tonjok om,negative
sakit bilang bodoh ketimbang bilang bunang lapuk mah,negative
ngaku telak uppercat mike tyson,negative
tutorial malu silfester,negative
ya gerung bikin emosi mahasiswa yo neng,negative
prabowo pake orang malu maluin,negative
satu alas rocky gerung tangkap beneran pintar indonesia butuh orang kayak gin,negative
emosi potong argument orang tengah jalan dungu tingkat,negative
hina pribadi balas si hina hina hadap,negative
tuduh membeladiri bodoh,negative
tau banget jiwa gadai malu hormat mati,negative
puji aiman temu mahluk bu uq debat rocky gerung,negative
bikin jongos mulut rocky,negative
orang hukum mulut kasar ko hajar rocky,negative
orang hukum tau pacta sunt servanda wakakakakakak,negative
cundang sejati kontrol emosi,negative
buwakakakakakakakakakk kocag,negative
emosi tenang om rocky,negative
orang lanjur buta tuli dungu hati nurani akal sehat,negative
jilat ngomong,negative
suara tepuk tangan gemuruh emosi puncak,negative
panik blazer oktober bayar ngamuk berani atas ring rocky kekar,negative
ya andal emosi pinter lihat malu banget orang,negative
rocky lari substansi masalah tuduh jokowi cawe cawe kuliah roti gulung malontok mulut,negative
hukum langgar hukum karna tau tangkal kbnyakan,negative
tum solidaritas merah putih sperti preman gadungan silfester bukti didik ijazah title formalitas attitude nothing kosong,negative
seru buanget nonton debat nih skip skip,negative
rocky cmn putar nga nga bukti,negative
kali lihat nara sumber pauk,negative
rocky nothing bakteri negara,neutral
silfester jokowi ijazah palsu nothing,neutral
nontonya gel oy,neutral
nonton video dungu,neutral
debat takut,neutral
dikatain rocky gerung nothing tau nama,neutral
ngopi nonton omon,neutral
nothingness sartre btw heidegger,neutral
rocky pinter jebak tenang gaya bicara intelektual,neutral
ngapai sensor takut kpi,neutral
banyak teori nothing rocky gerung,neutral
kaum zonk,neutral
istri bilang lelaki jantan,neutral
silv rocky gerung nothing jokowi lipat rocky gerung nothing lgs silv nilai jkw aka kosong,neutral
komentar takut nak delik,neutral
nyesek jebak batman,neutral
lanjut rocky tenang aman kelas abu janda gufron aman orang pinter,neutral
silfester kosong nothing,neutral
orang nothing,neutral
komentar takut tukang bakso,neutral
rocky pedulung rocky pikir waras normal tenang,neutral
neng lihat debat,neutral
nothing,neutral
janji ucap,neutral
tinggal nie lihat drama indonesia,neutral
koyo nonton wayang kulit,neutral
nonton indonesia,neutral
nothing bahasa templated anak tektok basi achh,neutral
tau akun ig,neutral
bilang rocky jantan rocky nikah jantan,neutral
selesai nonton bukti,neutral
ig,neutral
rocky gerung nothing omon omon,neutral
tidak mampu lawan argumentasi emosi serta keras bar bar,neutral
tenang menang,neutral
nemu super lucu,neutral
rendah,neutral
ig spa,neutral
rocky tenang,neutral
never trust politicians,neutral
silfester nothing,neutral
ukur debat iq minimal iq ajak debat,neutral
anies pas debat nyerang pribadi,neutral
nothing silfester,neutral
