cleaned_stemmed,sentiment_prediction
tukang korup pancing kasi keluarga anak,negative
bodoh hadir tepuk tangan rocky,negative
rocky penhianat,positive
matador versus banteng bantengya silfester,negative
selverter wawas ilmu rokcy,negative
rocky negara gelap,positive
rocky muncul tersa mndpat ilmu kata rocky,positive
mantaap rocky gerung,positive
rocky cerdas,positive
silfester ganggu jiwa,negative
percoma lawn debat saudar ngabalin ngumong ngumong nyambon argomen bong rocky gerung,negative
sombong banget orang ngaku jilat enteng banget ngata ngatain cundang ber guna bang rocky gerung manusia sih si sombong,negative
sylfester aku orang hukum hukum profesor khayal kuliah ruko,negative
bismillahirrahmanirrahim allahu akbar allah maha jilat ngaku maling aku penuh cara,negative
omong orang jilat jokowi sambung masyarakat kondisi bohong,negative
anjir ngakak lihat endingnya,negative
ayah bunda nyata,positive
rocky pintar indonesia kalah,negative
kalah telak silfester rocky gerung,negative
ikan pancing emang cerdas rocky emang panutan,negative
buahahahahahaha tonton amat tarik saking tarik ampe sadar video habis ikan pancing bestlahh rocky gerung ampe emosi,negative
oo sillfell sosok ngotot bayar bela keboongan njata,negative
maaf goa sih debat,negative
rocky silvestre ilmu banding rocky,positive
rocky,positive
dukung pikir akal sehat,positive
nikmat bodoh duh sgt ganggu hibur ganggu inti bahas dapet ganggu ucap salah masuk forum,positive
nonton bodoh jilat,negative
tangkap jokowi,positive
tukang urut sikfeater hahah,negative
baca koment netizen silver,positive
rokok hebat,positive
yess rocy gerung,positive
rokigerung lawan otak punyaota rokigerung punyaotak atik memutarbalikan fakta wayang kulit nama mbelung bolone togog rokigerung,negative
pancing emosi,negative
kampus ruko,positive
jas biru salah lawan rocky udah sekian kali debat jarang lihat marah bentak lawan debat gtu emosi gtu narasumber wowkwkwkekek rocky best,negative
gara nih bang aiman rocky gerung udah nongol bilang gara adil rocky serang personal faisal asegaf personal brani keras gilir rocky serang keras si sifestre,negative
terima kasih tau orang hukum tau hukum orang bodoh,positive
orang telaah pikir rocky mayoritas didik masyarakat rendah tambah ekonomi sulit orang ogah pikir filsafat difikir gimana lembar kertas warna cantik orang suka gila otak nila akal,negative
tolong bang iman ngundang nara sumber undang ngundang bentuk manusia pakai rapi body kekar otak dungu repot studio,negative
rocky gerung cerdas pancing mempan andai nama kena delik,negative
gelar acara layak pintar bodoh ya tau gerung mutu undang undang bikin muak,negative
silvestre debat bisa ngatain orang isi rocky gerung diem profesor bilang tau lucu,negative
ahli hukum diskusi pakai emosi bela babi buta,negative
kasi orang telanjang rocky tonton indonesia kalah argumen,negative
moderator netral cari celah lemah nara sumber tugas fasilitas lancar dialog,negative
ikan emosi jarang kuat pancing rocky gerung boss,negative
rocky km mmpertanggungjawabkan mulut umbar rkcencian caci maki dunia hei rocky,negative
baca pas sd dipamerin pas gabisa ngomong,negative
rocky baik,positive
pancing ikan,positive
rocky hebat,positive
rocky gerung pakai bahasa istilah susah docerna,negative
orang struk gara orang,negative
orang hukum kq bodoh lewat malu,negative
silfester nol,negative
isi ucap rocky gerung mnunjuk sejarah drpd topik bincang,negative
hei silfester rocky guna rakyat indonesia,positive
bela nalar scr objektif ilmu filsafat guru ilmu lawan smart ilmuwan filsafat dhl adu argumen atas panggung syaa allah tiada tanding goods rocky,positive
bangga aw brawer gusdur leo tolstoy terang judul buku baca ngang ngong ulti rocky karna tau tokoh filsafat sebut manusia silver akwkw,negative
sifer bawa freeman ntt kampung betawi,positive
emosi kalah yah,negative
sehat rocky papua,positive
turun arab cucu nabi pintar,negative
kasihan pilih mulyono tau ganti ketua solidaritas merah putih,negative
anak silfester nonton nih malu pake banget wkwkwkwkwk,positive
silfester becus,positive
ilmu akademik aplikasi dosen elu hha,positive
suka kagum orang orang berani bicara forum lepas drama milik mampu komunikasi jernih faktor tahu beda kontrol emosi kagum rocky gerung jujur posisi rocky kuat tahan tangan mudah loh milik status bujang berat pilih singgung ktp iya sulit,positive
ndadak bloon timbul emosi dungu dunguu nelen ludah teruus,negative
rocky gerung cakap coba masuk akal,positive
rocky pokrol ngak gugu tiru ngak dengar,negative
mantap roger,positive
rocky banyak hadeh gila nie orang,negative
sgala ajak rocky,positive
parah ngabalin,negative
ngaku jilat,negative
kocak kali,negative
orang hukum orang hukum,negative
yaa terang,positive
tuduh membeladiri bodoh,negative
rocky gerung amat sebenernya orang pintar ngomong orang buodoh rocky gerung,negative
jas biru kuat malu,negative
hidup rocky gerung,negative
simak,positive
rocky gerung emang lambang akal sehat salam akal sehat,positive
alhamdulillah debat rocky ilmu dasar sbg acu brfikir istilah ajar terima kasih guru rocky gerung,positive
jilat tetep jilat,positive
rocky gerung kuliah gratis jempol,positive
rocky gerung buat silver ikan pancing,positive
orang pintar ngomong santai balik orang ngomongnya ngga santai bararti orang,negative
orang hukum marah ampun silfester,negative
ohh tuhan maju rocky gerung,positive
wkwkwkw,positive
baju bru om kosong,negative
sukses jilat tnp nama ehh ikan pancing,positive
mantab jatim ratus persen dukung penuh rocky,positive
ayuh ufc,negative
rakyat skrng susah,negative
anak istri ap malu tuh,negative
boss masiarakat tipu,positive
emosi cepat nutupi liat,negative
guna emang rocky indonesia,positive
silferster debat pakai otot pakai otak,negative
mantap rocky gerung,positive
nyala rocky,positive
silfester membelaulyono tau tindak bagaimn jln pikiex orang,positive
kliatan nonton kebodahan silfester sikatt teruss rockk,negative
rocky bicara jngn bhs intelek orang paham bicara poin,negative
rocky orang hebat cerdas jujur gila jabat smg sll sehat ya rocky,negative
masuk kandang jebak si master akal sehat,positive
prof rocky salah pahlawan peran cerdas generasi bangsa,negative
salam akal sehat,positive
prof rocky gerung lawan dungu pikir,negative
putar si gerung minta bukti nyata ngomong ngalor ngedul,negative
roti gulung dasar otak udang,negative
jilat marah,negative
bukti koar teori praktek kosong ptrett,negative
bodoh rocky gerung,negative
baca kulit buku ngakunya baca buku banya intisari rangkum isi nol hati hati nyata sifat primer ubah,negative
ajak beragumen sederhana bingung kwkwkwkw bang rocky gerung gamau lanjutin debat,positive
suka silveste mantap silfester,positive
hahahahaha strike ikan silfester,positive
silfester tau kshn silfestr klah tlak rocky gerung,negative
udah kayak binatang tuhh silfester stallon,negative
bagus bang rocky,positive
sulit tuk paham indo,positive
ngeri kuasa keliling orang model gt,negative
rocky kagak gunanyanya,negative
mantapp,positive
langsung nyentil pribadi asli deg rocky gerung omong bujang lapuk emosi tuh orang bilang bujang lapuk ngga kualitas argumen,negative
aiman ketawa ketiwi tau ratingnya gin,negative
gag ilmu silfer,negative
semangat rocky,positive
salah langkah silfester,negative
ember rocky gerung,negative
tau rocky gerung guna indonesia,positive
rocky gerung cerdas emosional,negative
liat kosong isi,positive
ketua merah putih laku merah hitam,negative
bang rocky emang mantap,positive
emosi tutup dungu,negative
pondasi cawe cawe erti cakep,negative
ngerti bicara rocky ajak bicara emosi ngerti kenal tau dalem hati tau level ilmu rendah ilmu hukum filsafat jenis bilang awam baju biru level ilmu kaya orang awam iya ya wajar emosi wajar sana panggung orang level ilmu atas rocky,negative
please undang silfester tv malu maluin indonesia orang nonton tolong ya stasiun tv,negative
orang bodoh sungguh keren hebat rocky,negative
strait point la cakap belit belit banggang,negative
jual ngebacot cobak berani klu jabat berantas korupsi,negative
sing glok sing klambi biru kui,negative
lucu udah pancing panas panas lgi udah emosi dideketi pintar orang masuk lubang kubur,negative
ngaku,positive
dihanta rigaruik,positive
terang sayahukum hukum debangakanya,negative
tuh dangkal fiiranya marah sumber ngakunya sok ahli,negative
rocky abad imam katolik meni perang salib kurang cawe politik imam katolik ucap kaul selibat rocky gerung uji silfester tingkat tahu bahas pokok filsafat akar capai simpul kadang level sbg terang konteks salah paham slvester bodoh picu potong,negative
senggol,negative
silfester gameplay early game serang pribadi mid game full taunting argumen dasar late game umpat surend,positive
wkwkwwkwkk silverter stalom super bodoh aahaha indonesia nonton nilai aaha,positive
emng guna rocky gerung,negative
pinter rocky mantap simple karna takut,positive
weh ngapain bentak rocky suara jokowi duduk kursi keras ayo selesai cundang berat badan,negative
bodoh jilat hati hati isi kayak gin perintah isi uang,negative
orang pojok silfester wajar dya emosi rocky putar putar tampa jelas oke jas biru salah bujang lapuk emang rocky moter moter,positive
rocky guna,positive
mantap bang rocky,positive
koplak,negative
rocky gerung mantab,positive
songong lawan songong aura intelektualitas dukung rocky gerung masuk akal alur bicara orang kampung bau lisung,positive
sirfester kasih alat terjemah biar pinter dikit bener lawan rocky lucu koyak koyak emosi,negative
rocky best,positive
nyala rocky gerung,negative
bener rocky gerun teori bahasa tingal repot rakyat karna cerna omong telan ribet banyank omong cundang,negative
intonasi tinggi coba alibi jilat,positive
kasar etika debat level rocky kmu sok pintar jng ladenin orang bgni rocky,negative
debat boss jng sindir mslh pribadi privasi,negative
silfester martina kerja peras pemkab ende bproyek,negative
salut lihat bang rocky gerung santai selo emosi biasany orang emosia ito lh salahny alias kontrol bodoh pulak,positive
rocky gerung nanya tau silfester potong bodoh,negative
kalah debat hahahahahahaha silfes,negative
rocky lari substansi masalah tuduh jokowi cawe cawe kuliah roti gulung malontok mulut,negative
bang rocky best jas biru harga orang harga ngak harga orang bicara rocky potong rocky skip,positive
wahh parah sih orang nyerang pribadi turut sih ngawur yha aiman euy bahas politik nyerang pribadi,negative
anak tk lawan kelas viv,positive
liat dunggunya,negative
bodoh rocky,negative
musuh debat rocky nyambung,negative
debat ko bawa pribadi,negative
putar putar,negative
manusia lapukk gakada cewek,negative
jangkrik campur alwaystrike,negative
kalah marah,negative
mahasiswa cerdas paham poin poin bodoh bodoh bahaya,negative
rocky sok,positive
emang malu keluarg emosi segitu,negative
mantap rocky gerung,positive
silfester orang pilsapah diadalam pikir hati lawan debat,negative
orang orang kaya rocky gerung ajar pikir terus budaya caci maki baku hantam,negative
orang ngak tau puja gareng ngak mutu omongangnya ngawur,negative
bujang lapuk rocky hina bodoh marah silfester,negative
lanjut mma solusi kliatan mma rocky bebek bur,positive
