cleaned_stemmed,sentiment_prediction
tukang korup akhir pancing wkwkw kasi keluarga sama anak nya hahahaha,negative
bodoh semua yg hadir tepuk tangan roki,negative
roki gaklama jadi penhianat,negative
matador vs banteng bantengya silvester,positive
selverter jelas kurang wawas ilmu bawah jauh rokcy,negative
bung roky negara dlm gelap,negative
bung roky muncul tdk tersa mndpat ilmu kata bung roky,negative
mantaap bung rg,positive
rocky cerdas,positive
silvester ganggu jiwa,negative
percoma lawn debat saudar nya c ngabalin ngumong nya asal ngumong banyak nyambon dgn argomen bong rg,negative
sombong banget orang yg ngaku bukan jilat enteng banget ngata ngatain cundang tak ber guna bang rg manusia macam apa sih si sombong,negative
sylfester aku orang hukum hukum mana profesor khayal waktu kuliah ruko,negative
bismillahirrahmanirrahim allahu akbar x allah maha besar jilat mana ngaku kalau maling aku penuh cara,negative
omong orang jilat yg kamu kata jokowi sambung masyarakat kondisi jadi yg kamu kan buah bohong,negative
anjir ngakak gue liat endingnya,negative
ayah bunda nyata,positive
rocky orang pintar indonesia kalah,negative
kalah telak lu silvester sama rg,negative
satu ikan pancing emang cerdas bung rocky emang panutan,negative
buahahahahahaha tonton yg amat sangat tarik saking tarik ampe ga sadar video habis ikan pancing bestlahh rg ampe emosi,positive
oo sillfell ini sosok yg ngotot bayar bela keboongan yg njata,negative
maaf baru keluar goa mau tanya apa sih yg debat,negative
roky benar silvestre sedikit ilmu banding bung roky,positive
luar biasa pak roky,positive
y,positive
buat dukung pikir akal sehat,positive
nikmat bodoh duh sgt ganggu sedikit hibur ganggu banyak inti bahas ga dapet sangat ganggu dgn ucap yg tdk ucap salah masuk forum,negative
nonton bodoh jilat,negative
yg jelas tangkap jokowi,positive
kek tukang urut sikfeater hahah,negative
baca aja koment netizen silver,positive
rokok hebat,positive
yess bung rocy gerung,positive
rokigerung kata lawan tak punya otak justru yg punyaota rokigerung sendiri arti punyaotak atik dgn masalah memutarbalikan fakta kalo wayang kulit yg nama mbelung bolone togog siapa rokigerung,negative
nyata pancing emosi,negative
kampus ruko,positive
yg jas biru salah lawan bung rocky udah sekian kali debat jarang liat marah bentak lawan debat kyk gtu kalau emosi kyk gtu gak pantas jadi narasumber wowkwkwkekek bung rocky the best,negative
